"year","jurisdiction","race.ethnicity","avg.scale.score","accommodations.permitted"
1992,"Alabama","All students",207.358492229747,"no"
1992,"Alabama","American Indian/Alaska Native",NA,"no"
1992,"Alabama","Asian/Pacific Islander",NA,"no"
1992,"Alabama","Black",187.492216011891,"no"
1992,"Alabama","Hispanic",NA,"no"
1992,"Alabama","Two or more races",NA,"no"
1992,"Alabama","White",217.238842846285,"no"
1994,"Alabama","All students",207.963517196451,"no"
1994,"Alabama","American Indian/Alaska Native",NA,"no"
1994,"Alabama","Asian/Pacific Islander",NA,"no"
1994,"Alabama","Black",185.443475222595,"no"
1994,"Alabama","Hispanic",NA,"no"
1994,"Alabama","Two or more races",NA,"no"
1994,"Alabama","White",218.905365206081,"no"
1998,"Alabama","All students",211.337526642851,"yes"
1998,"Alabama","All students",210.920767475306,"no"
1998,"Alabama","American Indian/Alaska Native",NA,"yes"
1998,"Alabama","American Indian/Alaska Native",NA,"no"
1998,"Alabama","Asian/Pacific Islander",NA,"yes"
1998,"Alabama","Asian/Pacific Islander",NA,"no"
1998,"Alabama","Black",190.758151757066,"yes"
1998,"Alabama","Black",191.563147788058,"no"
1998,"Alabama","Hispanic",NA,"yes"
1998,"Alabama","Hispanic",NA,"no"
1998,"Alabama","Two or more races",NA,"yes"
1998,"Alabama","Two or more races",NA,"no"
1998,"Alabama","White",221.603639046143,"yes"
1998,"Alabama","White",220.59976377011,"no"
2000,"Alabama","All students",NA,"yes"
2000,"Alabama","All students",NA,"no"
2000,"Alabama","American Indian/Alaska Native",NA,"yes"
2000,"Alabama","American Indian/Alaska Native",NA,"no"
2000,"Alabama","Asian/Pacific Islander",NA,"yes"
2000,"Alabama","Asian/Pacific Islander",NA,"no"
2000,"Alabama","Black",NA,"yes"
2000,"Alabama","Black",NA,"no"
2000,"Alabama","Hispanic",NA,"yes"
2000,"Alabama","Hispanic",NA,"no"
2000,"Alabama","Two or more races",NA,"yes"
2000,"Alabama","Two or more races",NA,"no"
2000,"Alabama","White",NA,"yes"
2000,"Alabama","White",NA,"no"
2002,"Alabama","All students",206.88002954674,"yes"
2002,"Alabama","American Indian/Alaska Native",NA,"yes"
2002,"Alabama","Asian/Pacific Islander",NA,"yes"
2002,"Alabama","Black",188.104755931977,"yes"
2002,"Alabama","Hispanic",NA,"yes"
2002,"Alabama","Two or more races",NA,"yes"
2002,"Alabama","White",218.306687807651,"yes"
2003,"Alabama","All students",207.083847576707,"yes"
2003,"Alabama","American Indian/Alaska Native",NA,"yes"
2003,"Alabama","Asian/Pacific Islander",NA,"yes"
2003,"Alabama","Black",188.171151907511,"yes"
2003,"Alabama","Hispanic",NA,"yes"
2003,"Alabama","Two or more races",NA,"yes"
2003,"Alabama","White",218.621922984306,"yes"
2005,"Alabama","All students",207.75203301297,"yes"
2005,"Alabama","American Indian/Alaska Native",NA,"yes"
2005,"Alabama","Asian/Pacific Islander",NA,"yes"
2005,"Alabama","Black",188.092467745624,"yes"
2005,"Alabama","Hispanic",NA,"yes"
2005,"Alabama","Two or more races",NA,"yes"
2005,"Alabama","White",220.088822124625,"yes"
2007,"Alabama","All students",216.38895388449,"yes"
2007,"Alabama","American Indian/Alaska Native",NA,"yes"
2007,"Alabama","Asian/Pacific Islander",NA,"yes"
2007,"Alabama","Black",200.965135495706,"yes"
2007,"Alabama","Hispanic",196.978213863067,"yes"
2007,"Alabama","Two or more races",NA,"yes"
2007,"Alabama","White",226.554668661475,"yes"
2009,"Alabama","All students",216.273355869774,"yes"
2009,"Alabama","American Indian/Alaska Native",NA,"yes"
