"year","jurisdiction","title1","avg.scale.score","accommodations.permitted"
1992,"Alabama","Yes, for school purp",NA,"no"
1992,"Alabama","Yes, for students",NA,"no"
1992,"Alabama","No",NA,"no"
1994,"Alabama","Yes, for school purp",NA,"no"
1994,"Alabama","Yes, for students",NA,"no"
1994,"Alabama","No",NA,"no"
1998,"Alabama","Yes, for school purp",NA,"yes"
1998,"Alabama","Yes, for school purp",NA,"no"
1998,"Alabama","Yes, for students",NA,"yes"
1998,"Alabama","Yes, for students",NA,"no"
1998,"Alabama","No",NA,"yes"
1998,"Alabama","No",NA,"no"
2000,"Alabama","Yes, for school purp",NA,"yes"
2000,"Alabama","Yes, for school purp",NA,"no"
2000,"Alabama","Yes, for students",NA,"yes"
2000,"Alabama","Yes, for students",NA,"no"
2000,"Alabama","No",NA,"yes"
2000,"Alabama","No",NA,"no"
2002,"Alabama","Yes, for school purp",NA,"yes"
2002,"Alabama","Yes, for students",NA,"yes"
2002,"Alabama","No",NA,"yes"
2003,"Alabama","Yes, for school purp",NA,"yes"
2003,"Alabama","Yes, for students",NA,"yes"
2003,"Alabama","No",NA,"yes"
2005,"Alabama","Yes, for school purp",201.65127474481,"yes"
2005,"Alabama","Yes, for students",208.177501465287,"yes"
2005,"Alabama","No",221.863897280045,"yes"
2007,"Alabama","Yes, for school purp",210.01376760376,"yes"
2007,"Alabama","Yes, for students",225.223568950718,"yes"
2007,"Alabama","No",229.097929228181,"yes"
2009,"Alabama","Yes, for school purp",209.327950463415,"yes"
2009,"Alabama","Yes, for students",218.392911744274,"yes"
2009,"Alabama","No",228.88702800495,"yes"
2011,"Alabama","Yes, for school purp",217.110437780684,"yes"
2011,"Alabama","Yes, for students",208.890700916343,"yes"
2011,"Alabama","No",230.759275549493,"yes"
2013,"Alabama","Yes, for school purp",211.307254532435,"yes"
2013,"Alabama","Yes, for students",225.739657224977,"yes"
2013,"Alabama","No",232.983842083264,"yes"
2015,"Alabama","Yes, for school purp",212.550951676614,"yes"
2015,"Alabama","Yes, for students",NA,"yes"
2015,"Alabama","No",227.297666004491,"yes"
2017,"Alabama","Yes, for school purp",209.467933256579,"yes"
2017,"Alabama","Yes, for students",NA,"yes"
2017,"Alabama","No",235.641684667195,"yes"
2019,"Alabama","Yes, for school purp",206.87651852999,"yes"
2019,"Alabama","Yes, for students",212.835145234715,"yes"
2019,"Alabama","No",230.017284653382,"yes"
1992,"Alaska","Yes, for school purp",NA,"no"
1992,"Alaska","Yes, for students",NA,"no"
1992,"Alaska","No",NA,"no"
1994,"Alaska","Yes, for school purp",NA,"no"
1994,"Alaska","Yes, for students",NA,"no"
1994,"Alaska","No",NA,"no"
1998,"Alaska","Yes, for school purp",NA,"yes"
1998,"Alaska","Yes, for school purp",NA,"no"
1998,"Alaska","Yes, for students",NA,"yes"
1998,"Alaska","Yes, for students",NA,"no"
1998,"Alaska","No",NA,"yes"
1998,"Alaska","No",NA,"no"
2000,"Alaska","Yes, for school purp",NA,"yes"
2000,"Alaska","Yes, for school purp",NA,"no"
2000,"Alaska","Yes, for students",NA,"yes"
2000,"Alaska","Yes, for students",NA,"no"
2000,"Alaska","No",NA,"yes"
2000,"Alaska","No",NA,"no"
2002,"Alaska","Yes, for school purp",NA,"yes"
2002,"Alaska","Yes, for students",NA,"yes"
2002,"Alaska","No",NA,"yes"
2003,"Alaska","Yes, for school purp",NA,"yes"
2003,"Alaska","Yes, for students",NA,"yes"
2003,"Alaska","No",NA,"yes"
2005,"Alaska","Yes, for school purp",192.248918921303,"yes"
2005,"Alaska","Yes, for students",210.283026795216,"yes"
2005,"Alaska","No",221.000536067625,"yes"
2007,"Alaska","Yes, for school purp",201.404331848603,"yes"
2007,"Alaska","Yes, for students",210.844391738811,"yes"
2007,"Alaska","No",225.431775921514,"yes"
2009,"Alaska","Yes, for school purp",197.866100513139,"yes"
2009,"Alaska","Yes, for students",202.915419517642,"yes"
2009,"Alaska","No",220.506981579405,"yes"
2011,"Alaska","Yes, for school purp",195.939275097908,"yes"
2011,"Alaska","Yes, for students",202.187620170618,"yes"
2011,"Alaska","No",221.637359081808,"yes"
2013,"Alaska","Yes, for school purp",192.19081548013,"yes"
2013,"Alaska","Yes, for students",204.239176858205,"yes"
2013,"Alaska","No",223.216681216453,"yes"
2015,"Alaska","Yes, for school purp",202.779234753135,"yes"
2015,"Alaska","Yes, for students",213.147685652972,"yes"
2015,"Alaska","No",225.150267999779,"yes"
2017,"Alaska","Yes, for school purp",197.933156886966,"yes"
2017,"Alaska","Yes, for students",193.067207033043,"yes"
2017,"Alaska","No",222.953379577917,"yes"
2019,"Alaska","Yes, for school purp",193.675028893775,"yes"
2019,"Alaska","Yes, for students",195.576482465517,"yes"
2019,"Alaska","No",220.403544012426,"yes"
1992,"Arizona","Yes, for school purp",NA,"no"
1992,"Arizona","Yes, for students",NA,"no"
1992,"Arizona","No",NA,"no"
1994,"Arizona","Yes, for school purp",NA,"no"
1994,"Arizona","Yes, for students",NA,"no"
1994,"Arizona","No",NA,"no"
1998,"Arizona","Yes, for school purp",NA,"yes"
1998,"Arizona","Yes, for school purp",NA,"no"
1998,"Arizona","Yes, for students",NA,"yes"
1998,"Arizona","Yes, for students",NA,"no"
1998,"Arizona","No",NA,"yes"
1998,"Arizona","No",NA,"no"
2000,"Arizona","Yes, for school purp",NA,"yes"
2000,"Arizona","Yes, for school purp",NA,"no"
2000,"Arizona","Yes, for students",NA,"yes"
2000,"Arizona","Yes, for students",NA,"no"
2000,"Arizona","No",NA,"yes"
2000,"Arizona","No",NA,"no"
2002,"Arizona","Yes, for school purp",NA,"yes"
2002,"Arizona","Yes, for students",NA,"yes"
2002,"Arizona","No",NA,"yes"
2003,"Arizona","Yes, for school purp",NA,"yes"
2003,"Arizona","Yes, for students",NA,"yes"
2003,"Arizona","No",NA,"yes"
2005,"Arizona","Yes, for school purp",190.772697711774,"yes"
2005,"Arizona","Yes, for students",210.093767810077,"yes"
2005,"Arizona","No",224.119116124661,"yes"
2007,"Arizona","Yes, for school purp",194.076314362989,"yes"
2007,"Arizona","Yes, for students",213.274856108452,"yes"
2007,"Arizona","No",222.263284843072,"yes"
2009,"Arizona","Yes, for school purp",198.740135849734,"yes"
2009,"Arizona","Yes, for students",208.97157375658,"yes"
2009,"Arizona","No",227.551410288569,"yes"
2011,"Arizona","Yes, for school purp",202.269725661241,"yes"
2011,"Arizona","Yes, for students",212.998750590693,"yes"
2011,"Arizona","No",229.789785756602,"yes"
2013,"Arizona","Yes, for school purp",200.510563752116,"yes"
2013,"Arizona","Yes, for students",217.086949485484,"yes"
2013,"Arizona","No",231.398923144165,"yes"
2015,"Arizona","Yes, for school purp",204.626266210915,"yes"
2015,"Arizona","Yes, for students",223.712531735755,"yes"
2015,"Arizona","No",236.860500103969,"yes"
2017,"Arizona","Yes, for school purp",205.250812567724,"yes"
2017,"Arizona","Yes, for students",222.611505376364,"yes"
2017,"Arizona","No",241.178092457695,"yes"
2019,"Arizona","Yes, for school purp",204.975871141648,"yes"
2019,"Arizona","Yes, for students",223.849312085165,"yes"
2019,"Arizona","No",231.32920514791,"yes"
1992,"Arkansas","Yes, for school purp",NA,"no"
1992,"Arkansas","Yes, for students",NA,"no"
1992,"Arkansas","No",NA,"no"
1994,"Arkansas","Yes, for school purp",NA,"no"
1994,"Arkansas","Yes, for students",NA,"no"
1994,"Arkansas","No",NA,"no"
1998,"Arkansas","Yes, for school purp",NA,"yes"
1998,"Arkansas","Yes, for school purp",NA,"no"
1998,"Arkansas","Yes, for students",NA,"yes"
1998,"Arkansas","Yes, for students",NA,"no"
1998,"Arkansas","No",NA,"yes"
1998,"Arkansas","No",NA,"no"
2000,"Arkansas","Yes, for school purp",NA,"yes"
2000,"Arkansas","Yes, for school purp",NA,"no"
2000,"Arkansas","Yes, for students",NA,"yes"
2000,"Arkansas","Yes, for students",NA,"no"
2000,"Arkansas","No",NA,"yes"
2000,"Arkansas","No",NA,"no"
2002,"Arkansas","Yes, for school purp",NA,"yes"
2002,"Arkansas","Yes, for students",NA,"yes"
2002,"Arkansas","No",NA,"yes"
2003,"Arkansas","Yes, for school purp",NA,"yes"
2003,"Arkansas","Yes, for students",NA,"yes"
2003,"Arkansas","No",NA,"yes"
2005,"Arkansas","Yes, for school purp",213.081369888946,"yes"
2005,"Arkansas","Yes, for students",219.409387622585,"yes"
2005,"Arkansas","No",234.632514378314,"yes"
2007,"Arkansas","Yes, for school purp",213.56401383638,"yes"
2007,"Arkansas","Yes, for students",225.316761583248,"yes"
2007,"Arkansas","No",233.894660223662,"yes"
2009,"Arkansas","Yes, for school purp",212.58113492865,"yes"
2009,"Arkansas","Yes, for students",222.129979518608,"yes"
2009,"Arkansas","No",227.95576970452,"yes"
2011,"Arkansas","Yes, for school purp",213.392318092794,"yes"
2011,"Arkansas","Yes, for students",222.761180751027,"yes"
2011,"Arkansas","No",236.300549213054,"yes"
2013,"Arkansas","Yes, for school purp",213.919314817144,"yes"
2013,"Arkansas","Yes, for students",225.885995044445,"yes"
2013,"Arkansas","No",232.342571394486,"yes"
2015,"Arkansas","Yes, for school purp",216.449580106672,"yes"
2015,"Arkansas","Yes, for students",222.005565840597,"yes"
2015,"Arkansas","No",236.75754415544,"yes"
2017,"Arkansas","Yes, for school purp",214.044422688863,"yes"
2017,"Arkansas","Yes, for students",218.298460302734,"yes"
2017,"Arkansas","No",229.208169273948,"yes"
2019,"Arkansas","Yes, for school purp",212.055625470631,"yes"
2019,"Arkansas","Yes, for students",218.335457388661,"yes"
2019,"Arkansas","No",238.653421605358,"yes"
1992,"California","Yes, for school purp",NA,"no"
1992,"California","Yes, for students",NA,"no"
1992,"California","No",NA,"no"
1994,"California","Yes, for school purp",NA,"no"
1994,"California","Yes, for students",NA,"no"
1994,"California","No",NA,"no"
1998,"California","Yes, for school purp",NA,"yes"
1998,"California","Yes, for school purp",NA,"no"
1998,"California","Yes, for students",NA,"yes"
1998,"California","Yes, for students",NA,"no"
1998,"California","No",NA,"yes"
1998,"California","No",NA,"no"
2000,"California","Yes, for school purp",NA,"yes"
2000,"California","Yes, for school purp",NA,"no"
2000,"California","Yes, for students",NA,"yes"
2000,"California","Yes, for students",NA,"no"
2000,"California","No",NA,"yes"
2000,"California","No",NA,"no"
2002,"California","Yes, for school purp",NA,"yes"
2002,"California","Yes, for students",NA,"yes"
2002,"California","No",NA,"yes"
2003,"California","Yes, for school purp",NA,"yes"
2003,"California","Yes, for students",NA,"yes"
2003,"California","No",NA,"yes"
2005,"California","Yes, for school purp",194.487539613859,"yes"
2005,"California","Yes, for students",206.446096541383,"yes"
2005,"California","No",226.943857936561,"yes"
2007,"California","Yes, for school purp",195.957909469821,"yes"
2007,"California","Yes, for students",208.847332323881,"yes"
2007,"California","No",228.569147545727,"yes"
2009,"California","Yes, for school purp",196.778306063048,"yes"
2009,"California","Yes, for students",213.548196247478,"yes"
2009,"California","No",229.497445069809,"yes"
2011,"California","Yes, for school purp",200.802044765223,"yes"
2011,"California","Yes, for students",211.73814553485,"yes"
2011,"California","No",232.424774348468,"yes"
2013,"California","Yes, for school purp",201.838628634369,"yes"
2013,"California","Yes, for students",209.615282511298,"yes"
2013,"California","No",228.124864024877,"yes"
2015,"California","Yes, for school purp",202.215207515016,"yes"
2015,"California","Yes, for students",217.374539662237,"yes"
2015,"California","No",233.181948229635,"yes"
2017,"California","Yes, for school purp",203.280735545212,"yes"
2017,"California","Yes, for students",211.451386804425,"yes"
2017,"California","No",238.354763561637,"yes"
2019,"California","Yes, for school purp",206.961747110793,"yes"
2019,"California","Yes, for students",209.956024223863,"yes"
2019,"California","No",239.343344391931,"yes"
1992,"Colorado","Yes, for school purp",NA,"no"
1992,"Colorado","Yes, for students",NA,"no"
1992,"Colorado","No",NA,"no"
1994,"Colorado","Yes, for school purp",NA,"no"
1994,"Colorado","Yes, for students",NA,"no"
1994,"Colorado","No",NA,"no"
1998,"Colorado","Yes, for school purp",NA,"yes"
1998,"Colorado","Yes, for school purp",NA,"no"
1998,"Colorado","Yes, for students",NA,"yes"
1998,"Colorado","Yes, for students",NA,"no"
1998,"Colorado","No",NA,"yes"
1998,"Colorado","No",NA,"no"
2000,"Colorado","Yes, for school purp",NA,"yes"
2000,"Colorado","Yes, for school purp",NA,"no"
2000,"Colorado","Yes, for students",NA,"yes"
2000,"Colorado","Yes, for students",NA,"no"
2000,"Colorado","No",NA,"yes"
2000,"Colorado","No",NA,"no"
2002,"Colorado","Yes, for school purp",NA,"yes"
2002,"Colorado","Yes, for students",NA,"yes"
